ubigeo,conteo
010101,32589.0
010102,262.0
010103,1136.0
010104,642.0
010105,585.0
010106,1781.0
010107,480.0
010108,1258.0
010109,3978.0
010110,3620.0
010111,794.0
010112,852.0
010113,1367.0
010114,2176.0
010115,496.0
010116,375.0
010117,769.0
010118,295.0
010119,580.0
010120,1224.0
010121,247.0
010201,27102.0
010202,9765.0
010203,4595.0
010204,1216.0
010205,25162.0
010206,6260.0
010301,1337.0
010302,306.0
010303,287.0
010304,772.0
010305,669.0
010306,5999.0
010307,7580.0
010308,208.0
010309,489.0
010310,1539.0
010311,874.0
010312,5577.0
010401,18626.0
010402,9891.0
010403,13953.0
010501,2227.0
010502,6473.0
010503,1881.0
010504,1853.0
010505,1840.0
010506,498.0
010507,839.0
010508,842.0
010509,3959.0
010510,388.0
010511,744.0
010512,3556.0
010513,3446.0
010514,4768.0
010515,1316.0
010516,546.0
010517,695.0
010518,633.0
010519,419.0
010520,1888.0
010521,3012.0
010522,1265.0
010523,1348.0
010601,6016.0
010602,2498.0
010603,595.0
010604,2620.0
010605,2280.0
010606,1631.0
010607,1506.0
010608,453.0
010609,8793.0
010610,512.0
010611,282.0
010612,2812.0
010701,50841.0
010702,23089.0
010703,7855.0
010704,5825.0
010705,6620.0
010706,10080.0
010707,2927.0
020101,60896.0
020102,1639.0
020103,294.0
020104,1600.0
020105,76088.0
020106,4781.0
020107,1066.0
020108,2351.0
020109,956.0
020110,4606.0
020111,3321.0
020112,6338.0
020201,2017.0
020202,1639.0
020203,364.0
020204,1582.0
020205,714.0
020301,3288.0
020302,1918.0
020303,1368.0
020304,1851.0
020305,4067.0
020306,1158.0
020401,4563.0
020402,2815.0
020501,4023.0
020502,244.0
020503,994.0
020504,2062.0
020505,1677.0
020506,312.0
020507,2313.0
020508,6468.0
020509,1432.0
020510,1253.0
020511,457.0
020512,492.0
020513,917.0
020514,495.0
020515,658.0
020601,15122.0
020602,2472.0
020603,1431.0
020604,2365.0
020605,1469.0
020606,9478.0
020607,1381.0
020608,2350.0
020609,2789.0
020610,3335.0
020611,2992.0
020701,10493.0
020702,3131.0
020703,4093.0
020801,35765.0
020802,4831.0
020803,2088.0
020804,8305.0
020901,1677.0
020902,379.0
020903,445.0
020904,2678.0
020905,1026.0
020906,634.0
020907,693.0
021001,9178.0
021002,1362.0
021003,2573.0
021004,7971.0
021005,1782.0
021006,1427.0
021007,3307.0
021008,2571.0
021009,1361.0
021010,1561.0
021011,2642.0
021012,705.0
021013,1406.0
021014,17033.0
021015,2534.0
021016,1301.0
021101,25117.0
021102,740.0
021103,3097.0
021104,861.0
021105,745.0
021201,24128.0
021202,960.0
021203,1344.0
021204,1614.0
021205,1849.0
021206,7804.0
021207,6371.0
021208,4229.0
021209,1055.0
021210,1980.0
021301,3024.0
021302,3668.0
021303,1326.0
021304,1908.0
021305,1020.0
021306,5629.0
021307,2732.0
021308,977.0
021401,1203.0
021402,656.0
021403,300.0
021404,472.0
021405,1421.0
021406,1219.0
021407,279.0
021408,438.0
021409,622.0
021410,429.0
021501,2445.0
021502,986.0
021503,7391.0
021504,523.0
021505,1001.0
021506,505.0
021507,597.0
021508,2364.0
021509,3980.0
021510,1026.0
021511,2673.0
021601,13834.0
021602,2954.0
021603,5806.0
021604,2200.0
021701,4406.0
021702,3907.0
021703,409.0
021704,620.0
021705,912.0
021706,1608.0
021707,923.0
021708,1517.0
021709,421.0
021710,2462.0
021801,206213.0
021802,4420.0
021803,15979.0
021804,3125.0
021805,8034.0
021806,14324.0
021807,4770.0
021808,19621.0
021809,159321.0
021901,5411.0
021902,1612.0
021903,533.0
021904,2739.0
021905,905.0
021906,3518.0
021907,2306.0
021908,2278.0
021909,6187.0
021910,1482.0
022001,20070.0
022002,1674.0
022003,6336.0
022004,1343.0
022005,11629.0
022006,2657.0
022007,1840.0
022008,5292.0
030101,69028.0
030102,1339.0
030103,1866.0
030104,16223.0
030105,2886.0
030106,3002.0
030107,2774.0
030108,2541.0
030109,10861.0
030201,42268.0
030202,5459.0
030203,1186.0
030204,5210.0
030205,3753.0
030206,750.0
030207,6023.0
030208,3452.0
030209,7989.0
030210,2199.0
030211,863.0
030212,2910.0
030213,20738.0
030214,1613.0
030215,8152.0
030216,18509.0
030217,1864.0
030218,3642.0
030219,1816.0
030220,4081.0
030301,2776.0
030302,552.0
030303,1841.0
030304,1711.0
030305,2268.0
030306,1054.0
030307,1108.0
030401,4928.0
030402,580.0
030403,929.0
030404,1893.0
030405,693.0
030406,2570.0
030407,462.0
030408,735.0
030409,1529.0
030410,1022.0
030411,769.0
030412,1107.0
030413,711.0
030414,1848.0
030415,2272.0
030416,1278.0
030417,981.0
030501,10381.0
030502,3886.0
030503,6586.0
030504,9430.0
030505,5848.0
030506,14525.0
030601,5293.0
030602,10388.0
030603,1728.0
030604,6634.0
030605,6759.0
030606,2344.0
030607,2650.0
030608,4046.0
030609,2689.0
030610,1728.0
030611,988.0
030701,5023.0
030702,1936.0
030703,2782.0
030704,1368.0
030705,858.0
030706,935.0
030707,798.0
030708,2945.0
030709,272.0
030710,560.0
030711,628.0
030712,1233.0
030713,675.0
030714,1229.0
040101,55437.0
040102,85870.0
040103,91935.0
040104,197954.0
040105,12949.0
040106,2939.0
040107,50164.0
040108,32019.0
040109,59918.0
040110,60589.0
040111,4756.0
040112,131346.0
040113,445.0
040114,837.0
040115,4784.0
040116,4368.0
040117,24225.0
040118,611.0
040119,1377.0
040120,682.0
040121,6318.0
040122,75351.0
040123,16191.0
040124,14054.0
040125,3610.0
040126,25417.0
040127,1314.0
040128,33346.0
040129,81829.0
040201,13367.0
040202,4641.0
040203,6997.0
040204,6195.0
040205,7106.0
040206,4171.0
040207,943.0
040208,15950.0
040301,4259.0
040302,4923.0
040303,5215.0
040304,473.0
040305,3171.0
040306,610.0
040307,9240.0
040308,3685.0
040309,3047.0
040310,1532.0
040311,1477.0
040312,1837.0
040313,1877.0
040401,8435.0
040402,1038.0
040403,242.0
040404,1646.0
040405,947.0
040406,702.0
040407,1472.0
040408,488.0
040409,8177.0
040410,2032.0
040411,432.0
040412,207.0
040413,6266.0
040414,1545.0
040501,5770.0
040502,841.0
040503,2096.0
040504,1458.0
040505,3697.0
040506,1089.0
040507,670.0
040508,1010.0
040509,555.0
040510,904.0
040511,718.0
040512,701.0
040513,648.0
040514,886.0
040515,669.0
040516,772.0
040517,1441.0
040518,621.0
040519,2117.0
040520,60108.0
040601,3290.0
040602,677.0
040603,3212.0
040604,675.0
040605,595.0
040606,3263.0
040607,478.0
040608,3928.0
040701,24073.0
040702,8347.0
040703,6854.0
040704,5132.0
040705,1172.0
040706,6456.0
040801,2925.0
040802,1849.0
040803,577.0
040804,1913.0
040805,1122.0
040806,2342.0
040807,265.0
040808,319.0
040809,301.0
040810,658.0
040811,556.0
050101,99427.0
050102,7403.0
050103,4383.0
050104,28252.0
050105,5698.0
050106,5373.0
050107,3114.0
050108,5083.0
050109,1403.0
050110,49034.0
050111,1427.0
050112,5952.0
050113,5047.0
050114,13634.0
050115,18492.0
050116,28472.0
050201,5479.0
050202,8321.0
050203,7463.0
050204,2067.0
050205,4104.0
050206,3009.0
050301,3202.0
050302,1826.0
050303,1313.0
050304,2068.0
050401,39517.0
050402,1196.0
050403,4162.0
050404,2667.0
050405,5490.0
050406,3852.0
050407,10797.0
050408,10058.0
050409,3520.0
050410,3522.0
050411,2523.0
050412,2162.0
050501,10326.0
050502,7969.0
050503,9298.0
050504,1643.0
050505,4218.0
050506,1278.0
050507,11279.0
050508,10173.0
050509,9410.0
050510,4039.0
050511,1020.0
050601,13919.0
050602,2903.0
050603,2189.0
050604,1681.0
050605,2163.0
050606,2554.0
050607,1560.0
050608,1577.0
050609,1094.0
050610,893.0
050611,2726.0
050612,2291.0
050613,1866.0
050614,791.0
050615,1718.0
050616,967.0
050617,2653.0
050618,927.0
050619,4778.0
050620,796.0
050621,1282.0
050701,13124.0
050702,2186.0
050703,1722.0
050704,630.0
050705,6271.0
050706,2062.0
050707,516.0
050708,1148.0
050801,3231.0
050802,468.0
050803,445.0
050804,1953.0
050805,613.0
050806,1453.0
050807,419.0
050808,292.0
050809,221.0
050810,514.0
050901,2570.0
050902,329.0
050903,478.0
050904,496.0
050905,374.0
050906,1240.0
050907,553.0
050908,808.0
050909,978.0
050910,594.0
050911,1025.0
051001,1887.0
051002,1526.0
051003,630.0
051004,460.0
051005,3977.0
051006,1138.0
051007,1011.0
051008,1089.0
051009,1294.0
051010,2092.0
051011,2616.0
051012,2389.0
051101,6370.0
051102,886.0
051103,819.0
051104,1577.0
051105,1340.0
051106,1105.0
